MomID,Year,Dietary energy density,Diet diversity,Dominant prey species,Mom Age,Deploy Mass,Recover Mass,Mass change,Pup age at Mom Mass Measurement,PupID,Pup sex,Pup Birth date,Pup birth mass,Pup Age at Weaning,Pup Wean Mass date,Pup Wean Mass,Lactation duration
9931,2011,5.849281,0.178817946,Redfish,22,148.5,223,74.50,2,9985,1,2010-12-30,17.5,19,2011-01-18,50.5,19.00
59,1999,4.88094,0.180569404,AtlanticCod,12,126.5,180,53.50,0,4524,1,1999-01-06,15,NA,NA,NA,NA
5846,2012,6.16088,0.216518648,NorthernSandlance,23,186,229.5,43.50,NA,10473,2,NA,NA,NA,2012-01-14,60.5,NA
619,2009,5.819446,0.230168999,Redfish,24,241,253,12.00,4,9184,1,2008-12-30,23,NA,NA,NA,NA
3271,2001,5.862905,0.238041925,NorthernSandlance,15,143,193,50.00,3,5778,2,2000-12-30,18.5,21,2001-01-20,50,21.00
10689,2013,5.928218,0.246178311,Redfish,27,153,241,88.00,3,10938,2,2013-01-04,22.5,18,2013-01-22,54.5,18.00
6177,2015,5.906137,0.250347258,Redfish,26,159,203.5,44.50,NA,12149,1,NA,NA,NA,2015-01-19,45.5,NA
3074,2014,5.61666,0.25176356,Redfish,29,162,193,31.00,NA,No pup,NA,NA,NA,NA,NA,NA,NA
3735,1998,5.238546,0.253089094,AtlanticCod,13,150,190,40.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2010,5.940795,0.255812102,NorthernSandlance,25,158.5,161.5,3.00,3,9860,1,2010-01-09,17.5,17,2010-01-26,37.5,17.00
137,2012,5.93557,0.262501826,Redfish,23,190,215,25.00,5,10415,1,2011-12-26,28,18,2012-01-13,54.5,18.00
9933,2011,5.890094,0.26304222,Redfish,25,219.5,215,-4.50,NA,10016,1,NA,NA,NA,2011-01-16,59,NA
829,2010,5.923239,0.27052825,NorthernSandlance,25,177.5,222.5,45.00,3,9866,2,2010-01-08,19.5,20,2010-01-28,50.5,20.00
2668,1996,5.961311,0.273878625,NorthernSandlance,11,151,NA,NA,NA,2708,1,NA,NA,17,1996-01-16,51,NA
146,2013,5.689242,0.279786139,NorthernSandlance,24,184,219,35.00,NA,10881,1,NA,NA,NA,2013-01-17,58.5,NA
2718,2012,5.905916,0.284050995,Redfish,27,172,230,58.00,3,10619,1,2012-01-07,23,17,2012-01-24,59,17.00
8389,2015,5.722858,0.298950689,NorthernSandlance,28,153,235.5,82.50,NA,NA,NA,NA,NA,NA,NA,NA,NA
10334,2012,5.96223,0.299966827,Redfish,25,180,202,22.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
9929,2011,5.691755,0.304781832,Redfish,25,184,202.5,18.50,NA,10042,1,NA,NA,NA,NA,NA,NA
5681,2001,5.72128,0.305794017,NorthernSandlance,16,153,192.5,39.50,3,5804,2,2001-01-01,26.5,16,2001-01-17,56,16.00
9021,2009,5.867972,0.306470465,Redfish,23,203,203,0.00,6,9070,1,2008-12-24,NA,23,2009-01-16,55,23.00
9418,2010,5.951712,0.3122836,Capelin,23,197,156.5,-40.50,NA,9664,1,NA,NA,NA,2010-01-10,56,NA
2999,2012,6.029578,0.316542375,NorthernSandlance,26,144,209,65.00,3,10432,2,2011-12-28,21,19,2012-01-16,51.5,19.00
2690,2002,5.8265,0.317124574,NorthernSandlance,29,206.5,228,21.50,3,6347,1,2002-01-04,22.5,21,2002-01-25,59.5,21.00
829,2015,5.898651,0.321388394,NorthernSandlance,30,143.6,221,77.40,3,12192,1,2015-01-02,NA,20,2015-01-22,45.5,20.00
9939,2011,5.786612,0.332741541,Redfish,26,142,187,45.00,2,9984,1,2010-12-30,25,NA,NA,NA,NA
4269,2010,5.95092,0.33388804,NorthernSandlance,25,195,202,7.00,2,9638,2,2010-01-01,20,18,2010-01-19,50,18.00
142,2013,5.68215,0.336226217,Redfish,24,219,231,12.00,3,10760,2,2012-12-25,23,19,2013-01-13,47.5,19.00
5108,2014,5.990709,0.336638218,NorthernSandlance,28,159,215.4,56.40,NA,NA,NA,NA,NA,NA,NA,NA,NA
